genus=*,genus:en,genus:fr,leaf_cycle=*(deciduous or evergreen),leaf_type=*(needleleaved or broadleaved),Synonym
Lemurophoenix,,,evergreen,broadleaved,
Leopoldinia,,,evergreen,broadleaved,
Lepidocaryum,,,evergreen,broadleaved,
Lepidorrhachis,,,evergreen,broadleaved,
Lepidozamia,,,evergreen,needleleaved,
Leucothrinax,,,evergreen,broadleaved,
Libocedrus,,,evergreen,needleleaved,
Licuala,,,evergreen,broadleaved,
Ligustrum,,,deciduous and evergreen,broadleaved,
Linospadix,,,evergreen,broadleaved,
Liquidambar,,,deciduous,broadleaved,
Liriodendron,,,deciduous,broadleaved,
Livistona,,,evergreen,broadleaved,
Lodoicea,,,evergreen,broadleaved,
Loxococcus,,,evergreen,broadleaved,
Lytocaryum,,,evergreen,broadleaved,
Macrozamia,,,evergreen,needleleaved,
Maclura,,,deciduous,broadleaved,
Magnolia,,,deciduous and evergreen,broadleaved,
Malus,,Pommier,deciduous,broadleaved,
Manicaria,,,evergreen,broadleaved,
Marojejya,,,evergreen,broadleaved,
Masoala,,,evergreen,broadleaved,
Mauritia,,,evergreen,broadleaved,
Mauritiella,,,evergreen,broadleaved,
Maxburretia,,,evergreen,broadleaved,
Medemia,,,evergreen,broadleaved,
Melia,,,deciduous,broadleaved,
Mespilus,,,deciduous,broadleaved,
Metasequoia,,,evergreen,needleleaved,
Metroxylon,,,evergreen,broadleaved,
Microbiota,,,evergreen,needleleaved,
Microcycas,,,evergreen,needleleaved,
Morus,,,deciduous,broadleaved,
Myrialepis,,,evergreen,broadleaved,
Nannorrhops,,,evergreen,broadleaved,
Nenga,,,evergreen,broadleaved,
Neonicholsonia,,,evergreen,broadleaved,
Neoveitchia,,,evergreen,broadleaved,
Nephrosperma,,,evergreen,broadleaved,
Nerium,,,evergreen,broadleaved,
Normanbya,,,evergreen,broadleaved,
Nothofagus,,,deciduous and evergreen,broadleaved,
Nothotsuga,,,evergreen,needleleaved,
Nypa,,,evergreen,broadleaved,
Pistacia,,,deciduous and evergreen,broadleaved,
Platanus,,Platane,deciduous,broadleaved,
Oenocarpus,,,evergreen,broadleaved,
Olea,,Olivier,evergreen,broadleaved,
Oncocalamus,,,evergreen,broadleaved,
Oncosperma,,,evergreen,broadleaved,
Orania,,,evergreen,broadleaved,
Oraniopsis,,,evergreen,broadleaved,
Ostrya,,,deciduous,broadleaved,
Parajubaea,,,evergreen,broadleaved,
Pelagodoxa,,,evergreen,broadleaved,
Phoenicophorium,,,evergreen,broadleaved,
Phoenix,,,evergreen,broadleaved,
Pholidocarpus,,,evergreen,broadleaved,
Pholidostachys,,,evergreen,broadleaved,
Physokentia,,,evergreen,broadleaved,
Phytelephas,,,evergreen,broadleaved,
Parrotia,,,deciduous,broadleaved,
Paulownia,,,deciduous,broadleaved,
Phillyrea,,,evergreen,broadleaved,
Photinia,,,deciduous,broadleaved,
Phyllostachys,,,evergreen,broadleaved,
Picea,Spruce,Épicéa,evergreen,needleleaved,
Pyrus,Pear,Poirier,deciduous and evergreen,broadleaved,
Pigafetta,,,evergreen,broadleaved,
Pinanga,,,evergreen,broadleaved,
Pinus,Pine,Pin,evergreen,needleleaved,
Plectocomia,,,evergreen,broadleaved,
Plectocomiopsis,,,evergreen,broadleaved,
Podocarpus,,,evergreen,needleleaved,
Podococcus,,,evergreen,broadleaved,
Pogonotium,,,evergreen,broadleaved,
Ponapea,,,evergreen,broadleaved,
Poncirus,,,deciduous,broadleaved,Citrus
Populus,Aspen,Peuplier,deciduous,broadleaved,
Prestoea,,,evergreen,broadleaved,
Pritchardia,,,evergreen,broadleaved,
Pritchardiopsis,,,evergreen,broadleaved,
Prunus,,,deciduous and evergreen,broadleaved,
Pseudolarix,,,evergreen,needleleaved,
Pseudophoenix,,,evergreen,broadleaved,
Pseudotsuga,,,evergreen,needleleaved,
Pterocarya,,,deciduous,broadleaved,
Pteroceltis,,,deciduous,broadleaved,
Ptychococcus,,,evergreen,broadleaved,
Ptychosperma,,,evergreen,broadleaved,
Quercus,Oak,Chêne,deciduous and evergreen,broadleaved,
Raphia,,,evergreen,broadleaved,
Ravenea,,,evergreen,broadleaved,
Reinhardtia,,,evergreen,broadleaved,
Retispatha,,,evergreen,broadleaved,
Rhapidophyllum,,,evergreen,broadleaved,
Rhapis,,,evergreen,broadleaved,
Rhododendron,,,deciduous and evergreen,broadleaved,
Rhopaloblaste,,,evergreen,broadleaved,
Rhopalostylis,,,evergreen,broadleaved,
Rhus,Sumac,Sumac,deciduous,broadleaved,
Robinia,,,deciduous,broadleaved,
Roscheria,,,evergreen,broadleaved,
Roystonea,,,evergreen,broadleaved,
Sabal,,,evergreen,broadleaved,
Sabinaria,,,evergreen,broadleaved,
Sambucus,,,deciduous,broadleaved,
Salacca,,,evergreen,broadleaved,
Salix,Willow,Saule,deciduous,broadleaved,
Saribus,,,evergreen,broadleaved,
Satakentia,,,evergreen,broadleaved,
Satranala,,,evergreen,broadleaved,
Schinus,,,evergreen,broadleaved,
Schippia,,,evergreen,broadleaved,
Sciadopitus,,,evergreen,needleleaved,
Sclerosperma,,,evergreen,broadleaved,
Semiarundinaria,,,deciduous,broadleaved,
Sequoia,Sequoia,Séquoia,evergreen,needleleaved,
Sequoiadendron,,,evergreen,needleleaved,
Serenoa,,,evergreen,broadleaved,
Socratea,,,evergreen,broadleaved,
Solfia,,,evergreen,broadleaved,
Sommieria,,,evergreen,broadleaved,
Sophora,,,deciduous,broadleaved,
Sorbus,,Sorbier,deciduous,broadleaved,
Sterculia,,,deciduous,broadleaved,
Styphnolobium,,,deciduous,broadleaved,
Syagrus,,,evergreen,broadleaved,
Synechanthus,,,evergreen,broadleaved,
Syringa,,,deciduous,broadleaved,
Tahina,,,evergreen,broadleaved,
Tamarix,,,deciduous and evergreen,needleleaved,
Taxodium,,,evergreen,needleleaved,
Taxus,,,evergreen,needleleaved,
Tectiphiala,,,evergreen,broadleaved,
Thrinax,,,evergreen,broadleaved,
Thuja,,Thuya,evergreen,needleleaved,
Thujopsis,,,evergreen,needleleaved,
Tilia,Lime,Tilleul,deciduous,broadleaved,
Torreya,,,evergreen,needleleaved,
Trachycarpus,,,evergreen,broadleaved,
Trithrinax,,,evergreen,broadleaved,
Tsuga,,,evergreen,needleleaved,
Ulmus,Elm,Orme,deciduous,broadleaved,
Veitchia,,,evergreen,broadleaved,
Verschaffeltia,,,evergreen,broadleaved,
Viburnum,,,deciduous and evergreen,broadleaved,
Voanioala,,,evergreen,broadleaved,
Wallichia,,,evergreen,broadleaved,
Washingtonia,,,evergreen,broadleaved,
Welfia,,,evergreen,broadleaved,
Welwitschia,,,deciduous,broadleaved,
Wendlandiella,,,evergreen,broadleaved,
Wettinia,,,evergreen,broadleaved,
Wodyetia,,,evergreen,broadleaved,
Xanthocyparis,,,evergreen,needleleaved,
Zamia,,,evergreen,needleleaved,
Zelkova,,,deciduous,broadleaved,
Zombia,,,evergreen,broadleaved,
